loan_amount,term,interest_rate,annual_income,debt_to_income,credit_score,employment_length,purpose,delinq_2yrs,revol_util,default
14716,36,13.26,88323,17.16,396,5,home,2,43.87,0
40749,36,23.92,43816,6.76,812,2,small_business,4,78.2,0
40144,36,17.98,60695,6.85,515,1,medical,3,78.4,0
17907,60,10.12,170774,29.22,431,1,credit_card,3,45.33,0
19777,60,26.95,176314,21.03,559,12,credit_card,4,79.22,0
28693,60,26.99,75841,12.93,424,8,car,2,83.86,0
43928,36,26.76,148498,26.49,381,15,other,0,65.48,1
27329,36,10.97,127096,13.85,582,4,car,1,22.84,0
47892,60,16.28,112764,25.22,358,6,credit_card,0,27.4,0
17282,36,29.62,105744,17.57,843,12,medical,1,31.48,0
24624,36,24.3,48482,33.82,460,19,car,1,11.68,1
24321,36,5.68,29171,33.72,583,12,small_business,2,27.32,0
11488,36,6.63,120755,21.71,405,6,other,4,20.95,0
23574,60,16.6,128125,17.28,404,9,small_business,0,45.53,0
6240,60,27.73,150722,17.69,738,14,other,4,90.84,0
44221,60,18.47,126082,33.2,527,5,medical,3,10.45,0
11478,36,17.45,23696,16.49,617,4,car,2,72.03,0
46162,60,7.64,146310,12.32,763,1,other,2,68.73,0
20262,60,21.42,171130,7.96,771,14,small_business,3,9.58,0
5432,36,25.55,171385,21.33,355,15,car,0,92.26,0
30721,36,14.51,39149,21.87,312,18,car,3,56.85,0
14568,60,24.39,150064,34.43,739,8,small_business,0,36.37,0
15178,60,29.11,73521,12.74,317,18,credit_card,1,75.65,0
23195,60,10.09,65740,18.33,412,6,other,2,25.74,0
1302,60,18.08,126611,33.29,528,3,small_business,0,69.35,0
18022,36,12.18,156028,33.83,470,2,medical,4,3.97,0
1055,60,24.82,86641,18.46,594,19,home,4,83.94,0
46781,60,19.44,83811,21.07,488,10,small_business,2,44.82,0
9717,36,20.86,83232,15.62,725,0,car,3,63.67,0
29699,60,24.95,35417,37.64,378,5,car,3,22.12,1
9150,36,14.9,175801,9.15,481,10,small_business,0,67.71,0
3125,36,27.88,132492,37.68,798,0,home,3,77.22,0
45247,36,18.33,50099,28.94,370,6,small_business,2,47.32,0
49513,60,8.95,181033,23.61,547,5,home,0,61.77,0
17748,60,22.4,163674,6.14,445,13,home,1,45.63,0
40577,36,24.83,138474,21.65,595,1,medical,3,89.41,0
5621,60,12.92,29256,19.27,769,3,other,3,49.79,0
16034,60,26.43,54681,10.64,805,10,car,0,84.18,0
47391,36,27.65,111328,27.97,492,14,car,4,80.14,1
6126,36,11.92,63361,38.99,367,17,home,3,41.05,0
6122,60,29.59,54540,24.68,793,0,car,2,23.01,0
19030,36,8.52,177608,30.02,351,2,credit_card,3,40.61,0
18302,60,10.05,104700,7.4,662,2,home,1,82.62,0
20181,60,9.61,98532,19.62,773,6,car,3,22.76,0
39638,60,27.35,147626,9.07,820,0,credit_card,4,52.44,0
2531,60,21.36,153943,26.45,730,10,medical,3,80.61,0
41940,36,8.8,66002,37.85,597,5,car,0,35.35,0
41441,36,16.01,69812,28.16,734,19,credit_card,3,64.22,0
24333,36,20.38,173698,7.69,497,2,small_business,4,24.56,0
40650,36,7.09,128946,17.41,427,18,other,0,10.93,0
35674,60,27.06,86668,24.27,831,1,small_business,2,79.44,0
36854,60,25.09,119003,19.11,710,17,credit_card,0,9.9,0
47271,36,17.63,62998,34.18,364,11,home,1,27.14,0
9152,60,29.18,124601,33.51,540,9,home,0,85.51,1
39518,60,15.44,196679,26.41,668,4,car,2,34.65,0
46540,60,29.6,27812,18.07,835,8,small_business,3,97.3,0
11267,36,21.7,81844,13.94,683,1,home,0,97.97,0
26289,36,20.87,153251,8.71,730,1,home,0,26.83,0
2062,36,9.15,194870,17.42,382,5,small_business,0,4.1,0
30926,60,27.05,94601,19.46,585,9,medical,0,70.51,0
7229,36,15.69,159347,28.65,833,17,home,2,45.1,0
48915,36,9.06,67857,28.04,758,11,other,4,10.08,0
5632,36,5.32,145555,7.45,511,3,credit_card,4,70.75,0
40056,36,18.99,40700,18.83,425,16,car,0,3.12,0
4596,36,18.18,190536,11.36,712,14,home,2,87.02,0
45243,36,22.98,193423,10.49,798,5,other,2,13.87,0
7168,60,27.26,113330,33.96,724,15,other,0,12.73,0
43563,60,6.99,164941,6.47,842,16,home,1,17.57,0
8561,36,23.29,172026,19.67,457,2,medical,0,96.03,0
9258,36,9.69,182627,10.89,411,9,credit_card,1,69.32,0
17616,60,26.45,83353,35.78,701,4,car,0,80.14,0
27734,60,25.48,196098,24.5,421,13,home,1,39.76,0
7371,36,18.52,120772,13.1,572,12,car,1,33.63,0
27069,36,22.76,198048,22.58,593,5,small_business,0,23.45,0
15369,36,12.86,111502,30.6,697,11,other,1,48.06,0
13910,36,16.78,133943,38.53,770,7,other,3,55.18,0
8943,60,25.54,129850,12.72,506,4,home,4,63.18,0
13199,36,16.48,65095,36.02,409,14,home,2,25.71,0
16728,36,13.94,165342,37.7,739,15,small_business,1,94.87,0
24275,36,17.36,181980,37.07,577,0,medical,1,16.98,0
7738,36,25.71,35523,27.24,781,15,home,2,96.57,0
16913,60,13.38,82433,27.04,413,4,other,1,1.49,0
36240,60,9.34,198140,19.11,776,2,car,2,48.11,0
20123,60,22.8,39991,31.33,620,19,credit_card,0,33.34,0
49447,36,25.65,30775,23.6,478,14,car,3,44.91,0
35529,36,7.52,104995,28.71,518,12,medical,3,57.07,0
11167,60,11.0,167745,20.0,827,15,credit_card,4,43.56,0
11554,36,8.55,142808,30.6,791,10,car,1,41.48,0
18260,36,13.7,178128,33.86,360,1,car,4,73.27,0
48045,60,16.26,157686,10.13,353,5,small_business,0,68.59,0
4812,60,23.72,27415,34.15,837,5,medical,3,83.33,0
29024,60,21.28,194956,23.91,364,13,other,0,25.0,0
28285,60,20.52,168036,34.56,470,10,small_business,0,60.95,1
27900,36,13.81,188798,20.1,572,7,credit_card,1,58.52,0
2605,36,26.04,57044,18.27,834,7,other,0,36.97,0
6622,60,16.78,188616,37.03,690,0,small_business,3,48.61,0
7767,36,29.48,69976,13.79,626,6,medical,4,31.38,0
28139,60,20.85,183324,34.55,407,5,home,3,14.18,1
12613,60,8.16,23832,21.94,461,7,home,1,21.38,0
11589,36,21.9,54148,22.99,751,18,credit_card,3,10.55,0
14918,60,13.13,132230,15.8,505,19,home,2,68.31,0
21119,36,22.16,105076,25.06,315,7,small_business,4,66.07,1
